HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"network.bazaarvoice.com"	Product Detail Page	20833926	282.070	0.370
"d3t1dw6evd1rv7.cloudfront.net"	Product Detail Page	17937017	351.487	18.482
"securepubads.g.doubleclick.net"	Product Detail Page	14691523	275.123	2945.331
"s.btstatic.com"	Product Detail Page	11413578	55.236	8.697
"s.btstatic.com"	product matrix	8509768	50.862	11.232
"s.thebrighttag.com"	Product Detail Page	7858610	175.269	10.031
"static.curations.bazaarvoice.com"	Product Detail Page	7818394	149.610	1.312
"securepubads.g.doubleclick.net"	product matrix	6737493	316.869	3418.767
"s.thebrighttag.com"	product matrix	5762031	167.192	13.354
"tpc.googlesyndication.com"	Product Detail Page	5303159	158.431	3354.465
"css"	Product Detail Page	5020936	51.032	604.819
"s.btstatic.com"	search	5017591	18.073	14.978
"checkout"	shoppingBag	4851437	374.640	1892.754
"www.google.com"	Product Detail Page	4792772	316.678	578.622
"securepubads.g.doubleclick.net"	search	4394245	266.068	2656.872
"apps.zineone.com"	Product Detail Page	4108505	244.055	7.581
"s.btstatic.com"	homepage	3903321	173.767	27.812
"www.googletagservices.com"	Product Detail Page	3383785	225.333	2036.854
"s.thebrighttag.com"	search	3366463	139.554	15.484
"securepubads.g.doubleclick.net"	homepage	3357567	343.392	3973.693
"s.btstatic.com"	shoppingBag	3306052	145.456	10.680
"s.thebrighttag.com"	homepage	3186579	247.143	20.194
"www.hlserve.com"	product matrix	3031036	354.720	105.766
"pagead2.googlesyndication.com"	Product Detail Page	2873623	134.354	2743.715
"adservice.google.com"	Product Detail Page	2703951	144.876	1662.549
"b.hlserve.com"	product matrix	2588581	544.675	8.971
"www.google.com"	product matrix	2512021	323.749	190.083
"maps.googleapis.com"	product matrix	2440640	349.037	12.579
"www.hlserve.com"	Product Detail Page	2326683	244.572	523.554
"apps.zineone.com"	product matrix	2225025	212.451	14.288
"www.facebook.com"	Product Detail Page	2135231	470.757	2133.067
"www.google.com"	search	2082588	297.263	422.730
"tpc.googlesyndication.com"	homepage	2081911	272.489	4574.857
"d2p4r375zfkzm8.cloudfront.net"	Product Detail Page	2012042	584.209	1.563
"b.hlserve.com"	search	2011700	551.868	15.958
"d3t1dw6evd1rv7.cloudfront.net"	Shopping cart	1990970	215.655	26.097
"tpc.googlesyndication.com"	product matrix	1959247	213.961	9894.884
"analytics-static.ugc.bazaarvoice.com"	Product Detail Page	1932620	156.841	2.554
"dpm.demdex.net"	Product Detail Page	1916500	352.705	7.576
"as-sec.casalemedia.com"	Product Detail Page	1915902	450.370	4.829
"www.googletagservices.com"	product matrix	1895256	377.233	2228.772
"www.hlserve.com"	search	1820266	347.582	108.199
"apps.nexus.bazaarvoice.com"	Product Detail Page	1817319	185.389	2.643
"apps.zineone.com"	search	1789529	187.245	16.269
"cdns.brsrvr.com"	Product Detail Page	1743574	271.013	28.494
"common-rev-dba820b639138b2af1f7.js"	Product Detail Page	1684630	101.979	427.916
"d2p4r375zfkzm8.cloudfront.net"	product matrix	1643202	576.410	3.981
"adservice.google.com"	product matrix	1605507	277.929	2096.891
"fastlane.rubiconproject.com"	Product Detail Page	1566378	604.173	13.780
"secure.adnxs.com"	Product Detail Page	1565399	648.463	14.539
"cdns.brsrvr.com"	search	1539212	134.203	21.740
"maps.googleapis.com"	search	1515348	286.003	26.460
"s.thebrighttag.com"	shoppingBag	1465349	240.317	9.349
"js-sec.indexww.com"	Product Detail Page	1448993	190.790	3.255
"dpm.demdex.net"	product matrix	1446399	365.277	11.792
"cdns.brsrvr.com"	product matrix	1393355	137.677	2.335
"apps.zineone.com"	homepage	1355242	328.368	24.127
"dpm.demdex.net"	homepage	1319798	455.694	60.362
"adserver-us.adtech.advertising.com"	Product Detail Page	1288942	505.936	14.216
"staticxx.facebook.com"	Product Detail Page	1284854	380.935	2021.961
"ing-district.clicktale.net"	shoppingBag	1260265	278.627	0.000
"triad-d.openx.net"	Product Detail Page	1216739	703.919	56.419
"www.googletagservices.com"	search	1215994	310.557	1673.256
"us-u.openx.net"	Product Detail Page	1202474	538.104	3168.405
"adservice.google.com"	search	1171343	238.777	1718.606
"tpc.googlesyndication.com"	search	1163795	150.071	26386.488
"d2p4r375zfkzm8.cloudfront.net"	search	1030401	544.475	14.722
"d3t1dw6evd1rv7.cloudfront.net"	Checkout	918849	196.173	27.272
"d2p4r375zfkzm8.cloudfront.net"	homepage	863854	672.704	40.891
"s.btstatic.com"	dsign-in	856755	70.747	31.030
"maps.googleapis.com"	NULL	841048	178.260	22.796
"www.googletagservices.com"	homepage	836765	449.395	8402.636
"s.btstatic.com"	sale event landing	835714	69.250	13.220
"www.hlserve.com"	homepage	822360	504.038	48.798
"www.google.com"	dsign-in	811600	278.459	372.240
"nova.collect.igodigital.com"	shoppingBag	800507	375.515	0.950
"pagead2.googlesyndication.com"	product matrix	791956	223.807	5171.263
"s.btstatic.com"	Shopping cart	771206	31.088	19.109
"adservice.google.com"	homepage	758218	349.566	3537.508
"dpm.demdex.net"	search	752081	322.739	34.275
"static.criteo.net"	homepage	657333	654.399	4707.478
"maps.googleapis.com"	store locator	628814	185.316	24.646
"css"	product matrix	621371	217.954	2446.503
"securepubads.g.doubleclick.net"	shoppingBag	620819	333.841	2676.470
"www.google-analytics.com"	shoppingBag	619378	171.303	1258.343
"cdn.truefitcorp.com"	Product Detail Page	608332	315.069	2127.496
"sb.scorecardresearch.com"	shoppingBag	607238	269.255	9.466
"pps.zineone.com"	Product Detail Page	606065	301.417	19.778
"css"	homepage	603065	177.623	1668.489
"s.btstatic.com"	Checkout	583186	19.647	18.024
"akam"	Product Detail Page	573999	460.286	4016.281
"s.thebrighttag.com"	dsign-in	569397	259.990	34.613
"s.thebrighttag.com"	sale event landing	568919	206.603	13.525
"www.google-analytics.com"	store locator	568797	246.777	322.910
"static.criteo.net"	Product Detail Page	562905	767.430	4225.246
"cdns.brsrvr.com"	homepage	550162	258.020	68.628
"css"	shoppingBag	539180	91.659	1491.880
"pagead2.googlesyndication.com"	homepage	538955	342.395	4770.345
"pagead2.googlesyndication.com"	search	530124	115.131	3601.359
"securepubads.g.doubleclick.net"	sale event landing	521022	288.992	2845.860
